,발생연도,경찰서,살인,강도,절도,폭력,강도등급,절도등급,폭행등급,살인등급,평균등급
235,2019,김해서부,1,2,866,1061,2,3,2,2,2.25
236,2019,양산,4,6,1278,1694,3,4,3,3,3.25
237,2019,거제,4,2,767,1342,2,2,3,3,2.5
238,2019,진해,1,0,530,849,1,2,2,2,1.75
239,2019,통영,3,4,463,851,3,2,2,3,2.5
240,2019,사천,3,0,269,658,1,2,2,3,2.0
241,2019,밀양,3,0,301,476,1,2,2,3,2.0
242,2019,거창,0,0,130,281,1,1,1,1,1.0
243,2019,합천,1,0,67,149,1,1,1,2,1.25
244,2019,창녕,4,2,108,175,2,1,1,3,1.75
245,2019,고성,3,0,168,260,1,1,1,3,1.5
246,2019,하동,1,0,108,125,1,1,1,2,1.25
247,2019,남해,2,0,82,168,1,1,1,2,1.25
248,2019,함양,0,0,86,145,1,1,1,1,1.0
249,2019,산청,0,0,68,112,1,1,1,1,1.0
250,2019,함안,1,0,107,197,1,1,1,2,1.25
251,2019,의령,0,2,34,125,2,1,1,1,1.25
252,2019,제주서귀포,4,7,897,1291,4,3,3,3,3.25
253,2019,제주동부,11,3,1173,1948,2,3,4,4,3.25
254,2019,제주서부,5,11,1144,1870,4,3,4,4,3.75
